priority_rank,focus_boundary,recommended_true_class,recommended_contrast_class,suggested_number_of_new_takes,rationale,performer_instruction_notes
1,attack_fire vs defense_fire,attack_fire,defense_fire,10,"High-impact boundary from confusion/error review. Signals: confusion_count=3, high_conf_errors=3, borderline_correct=12.","attack_fire: use a committed, directional strike shape (clear forward intent, visible extension). defense_fire: use a guarded, held blocking shape (stable posture, reduced forward reach). Record short instruction reminders before each take so performers keep class intent distinct."
1,attack_fire vs defense_fire,defense_fire,attack_fire,10,"High-impact boundary from confusion/error review. Signals: confusion_count=3, high_conf_errors=3, borderline_correct=12.","attack_fire: use a committed, directional strike shape (clear forward intent, visible extension). defense_fire: use a guarded, held blocking shape (stable posture, reduced forward reach). Record short instruction reminders before each take so performers keep class intent distinct."
2,defense_earth vs idle,defense_earth,idle,8,"High-impact boundary from confusion/error review. Signals: confusion_count=2, high_conf_errors=2, borderline_correct=10.","idle: stay neutral, relaxed, and non-elemental (avoid defensive arm structure). defense_earth: emphasize a grounded defensive frame (clear brace/guard, not relaxed standing). Use a 1-2 second neutral reset between takes to reduce drift from previous gestures."
2,defense_earth vs idle,idle,defense_earth,8,"High-impact boundary from confusion/error review. Signals: confusion_count=2, high_conf_errors=2, borderline_correct=10.","idle: stay neutral, relaxed, and non-elemental (avoid defensive arm structure). defense_earth: emphasize a grounded defensive frame (clear brace/guard, not relaxed standing). Use a 1-2 second neutral reset between takes to reduce drift from previous gestures."
3,attack_air vs attack_water,attack_air,attack_water,6,"High-impact boundary from confusion/error review. Signals: confusion_count=1, high_conf_errors=1, borderline_correct=1.",Clarify visual intent between attack_air and attack_water with one class-specific cue per take. Coach performers to exaggerate the discriminative pose in the first second of execution.
3,attack_air vs attack_water,attack_water,attack_air,6,"High-impact boundary from confusion/error review. Signals: confusion_count=1, high_conf_errors=1, borderline_correct=1.",Clarify visual intent between attack_air and attack_water with one class-specific cue per take. Coach performers to exaggerate the discriminative pose in the first second of execution.
4,attack_earth vs defense_earth,attack_earth,defense_earth,6,"High-impact boundary from confusion/error review. Signals: confusion_count=0, high_conf_errors=0, borderline_correct=5.",Clarify visual intent between attack_earth and defense_earth with one class-specific cue per take. Coach performers to exaggerate the discriminative pose in the first second of execution.
4,attack_earth vs defense_earth,defense_earth,attack_earth,6,"High-impact boundary from confusion/error review. Signals: confusion_count=0, high_conf_errors=0, borderline_correct=5.",Clarify visual intent between attack_earth and defense_earth with one class-specific cue per take. Coach performers to exaggerate the discriminative pose in the first second of execution.
5,defense_fire vs defense_water,defense_fire,defense_water,6,"High-impact boundary from confusion/error review. Signals: confusion_count=0, high_conf_errors=0, borderline_correct=5.",Clarify visual intent between defense_fire and defense_water with one class-specific cue per take. Coach performers to exaggerate the discriminative pose in the first second of execution.
5,defense_fire vs defense_water,defense_water,defense_fire,6,"High-impact boundary from confusion/error review. Signals: confusion_count=0, high_conf_errors=0, borderline_correct=5.",Clarify visual intent between defense_fire and defense_water with one class-specific cue per take. Coach performers to exaggerate the discriminative pose in the first second of execution.
